ID,Frame Name,Cycle Time [ms],Launch Type,Launch Parameter,Signal Byte No.,Signal Bit No.,Signal Name,Signal Function,Signal Length [Bit],Signal Default, Signal Not Available,Byteorder,is signed,WHJ_Vehicle,MoVal,MoConf,Value,Name / Phys. Range,Function / Increment Unit
156h,MoConf,,,,1,0,APM_En,,1,,,i,u,r,,s,,0.0..1.0
156h,MoConf,,,,1,2,APM_IGNORE,ignore Override,1,,,i,u,r,,s,,0.0..1.0
156h,MoConf,,,,2,0,APM_Slevel,"Slevel : Angle Speed Level ( it means Steer Angle speed control command in preversion)
1 level is incremented by 2deg/s ",8,,,i,u,r,,s,,0.0..510.0,2.0
156h,MoConf,,,,3,0,ASM_En,,1,,,i,u,r,,s,ASM_Disable,0
156h,MoConf,,,,3,0,ASM_En,,1,,,i,u,r,,s,ASM_En_Rdy,1
156h,MoConf,,,,3,0,ASM_En,,1,,,i,u,r,,s,ASM_En_Engaged,2
156h,MoConf,,,,3,4,ASM_StopRequest,,1,,,i,u,r,,s,,0.0..1.0
156h,MoConf,,,,5,0,AGM_En,,1,,,i,u,r,,s,,0.0..1.0
156h,MoConf,,,,5,1,AGM_Brake_ACT,,1,,,i,u,,,s,,0.0..1.0
156h,MoConf,,,,6,0,BCM_En,,1,,,i,u,r,,s,,0.0..0.0
156h,MoConf,,,,8,0,Mo_AlvCnt,,8,,,i,u,r,,s,,0.0..255.0
157h,MoVal,,,,1,0,Steer_Cmd,,16,,,i,s,r,s,,,-3276.8..3276.7,0.1  deg
157h,MoVal,,,,3,0,Setspeed,,8,,,i,u,,s,,,0.0..255.0,kph
157h,MoVal,,,,4,0,aReqMax_Cmd,,16,,,i,u,r,s,,,0.0..0.0,0.01  m/s^2
157h,MoVal,,,,7,0,Gear_Cmd,,4,,,i,u,r,s,,Parking level,0
157h,MoVal,,,,7,0,Gear_Cmd,,4,,,i,u,r,s,,Driving level,5
157h,MoVal,,,,7,0,Gear_Cmd,,4,,,i,u,r,s,,Neutral level,6
